PeakID (cmd=annotatePeaks.pl ATAC-H3K27me3_subtracted.bed Gallus_gallus.GRCg6a.dna.toplevel.fa -gtf GalGal6_protein_coding.gtf -gid)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
ATAC_R1.mLb.clN_peak_30518	2	145901141	145902528	+	1024	NA	Intergenic	Intergenic	-38431	ENSGALG00000031741	ENSGALG00000031741	ENSGALT00000072414			PTK2			protein_coding
ATAC_R1.mLb.clN_peak_27154	2	98661954	98662934	+	1020	NA	intron (ENSGALG00000036625, intron 1 of 7)	protein_coding-intron (ENSGALG00000036625, intron 1 of 7)	194	ENSGALG00000036625	ENSGALG00000036625	ENSGALT00000071937			NDUFV2			protein_coding
ATAC_R1.mLb.clN_peak_64458	Z	37613298	37614554	+	1019	NA	intron (ENSGALG00000015170, intron 1 of 71)	protein_coding-intron (ENSGALG00000015170, intron 1 of 71)	290	ENSGALG00000015170	ENSGALG00000015170	ENSGALT00000068453			VPS13A			protein_coding
ATAC_R1.mLb.clN_peak_57453	7	30224126	30225779	+	1012	NA	Intergenic	Intergenic	-14831	ENSGALG00000012187	ENSGALG00000012187	ENSGALT00000019898			MGAT5			protein_coding
ATAC_R1.mLb.clN_peak_4081	1	57680879	57681484	+	1009	NA	intron (ENSGALG00000040493, intron 1 of 4)	protein_coding-intron (ENSGALG00000040493, intron 1 of 4)	12979	ENSGALG00000040493	ENSGALG00000040493	ENSGALT00000091282			PTN			protein_coding
ATAC_R1.mLb.clN_peak_38194	3	71486050	71487651	+	1006	NA	intron (ENSGALG00000015483, intron 1 of 10)	protein_coding-intron (ENSGALG00000015483, intron 1 of 10)	309	ENSGALG00000015483	ENSGALG00000015483	ENSGALT00000081923			PNISR			protein_coding
ATAC_R1.mLb.clN_peak_62917	Z	10567678	10568456	+	1003	NA	TTS (ENSGALG00000003373)	protein_coding-TTS (ENSGALG00000003373)	4562	ENSGALG00000003373	ENSGALG00000003373	ENSGALT00000005332			BRIX1			protein_coding
ATAC_R1.mLb.clN_peak_62614	Z	3704368	3705371	+	999	NA	Intergenic	Intergenic	232895	ENSGALG00000033353	ENSGALG00000033353	ENSGALT00000067790			RIT2			protein_coding
ATAC_R1.mLb.clN_peak_38214	3	71678241	71679411	+	998	NA	intron (ENSGALG00000015490, intron 1 of 9)	protein_coding-intron (ENSGALG00000015490, intron 1 of 8)	223	ENSGALG00000015490	ENSGALG00000015490	ENSGALT00000024980			FBXL4			protein_coding
ATAC_R1.mLb.clN_peak_20925	2	1074915	1075581	+	997	NA	intron (ENSGALG00000005188, intron 3 of 17)	protein_coding-intron (ENSGALG00000005188, intron 3 of 16)	4726	ENSGALG00000005188	ENSGALG00000005188	ENSGALT00000096003			MINDY4			protein_coding
ATAC_R1.mLb.clN_peak_56246	7	16137923	16139003	+	997	NA	Intergenic	Intergenic	102520	ENSGALG00000009264	ENSGALG00000009264	ENSGALT00000015075			MTX2			protein_coding
ATAC_R1.mLb.clN_peak_56108	7	14779877	14780776	+	995	NA	intron (ENSGALG00000009001, intron 1 of 19)	protein_coding-intron (ENSGALG00000009001, intron 1 of 19)	114	ENSGALG00000009001	ENSGALG00000009001	ENSGALT00000014643			CWC22			protein_coding
ATAC_R1.mLb.clN_peak_52736	6	3581401	3582131	+	991	NA	Intergenic	Intergenic	-3260	ENSGALG00000002266	ENSGALG00000002266	ENSGALT00000003553			OGDHL			protein_coding
ATAC_R1.mLb.clN_peak_23577	2	37743798	37745039	+	988	NA	intron (ENSGALG00000011298, intron 4 of 8)	protein_coding-intron (ENSGALG00000011298, intron 4 of 8)	50850	ENSGALG00000011298	ENSGALG00000011298	ENSGALT00000054548			RARB			protein_coding
ATAC_R1.mLb.clN_peak_56620	7	20354588	20355215	+	987	NA	Intergenic	Intergenic	-133419	ENSGALG00000011069	ENSGALG00000011069	ENSGALT00000018023			FIGN			protein_coding
ATAC_R1.mLb.clN_peak_39480	3	89204049	89204462	+	986	NA	Intergenic	Intergenic	322244	ENSGALG00000051695	ENSGALG00000051695	ENSGALT00000098312						protein_coding
ATAC_R1.mLb.clN_peak_4334	1	61726326	61727155	+	985	NA	intron (ENSGALG00000013034, intron 1 of 16)	protein_coding-intron (ENSGALG00000013034, intron 1 of 18)	43879	ENSGALG00000013034	ENSGALG00000013034	ENSGALT00000092087			CECR2			protein_coding
ATAC_R1.mLb.clN_peak_39551	3	90910105	90910514	+	979	NA	intron (ENSGALG00000016350, intron 17 of 27)	protein_coding-intron (ENSGALG00000016350, intron 18 of 28)	-69917	ENSGALG00000022887	ENSGALG00000022887	ENSGALT00000036946			KBTBD11			protein_coding
ATAC_R1.mLb.clN_peak_60918	9	10273647	10274748	+	979	NA	Intergenic	Intergenic	-2523	ENSGALG00000002929	ENSGALG00000002929	ENSGALT00000004623			TRIP12			protein_coding
ATAC_R1.mLb.clN_peak_51436	5	43632669	43633456	+	971	NA	intron (ENSGALG00000010665, intron 4 of 7)	protein_coding-intron (ENSGALG00000010665, intron 4 of 6)	78764	ENSGALG00000010665	ENSGALG00000010665	ENSGALT00000017352			FOXN3			protein_coding
ATAC_R1.mLb.clN_peak_6883	1	108490158	108491276	+	968	NA	intron (ENSGALG00000016053, intron 1 of 10)	protein_coding-intron (ENSGALG00000016053, intron 1 of 10)	19821	ENSGALG00000016053	ENSGALG00000016053	ENSGALT00000025866			DYRK1A			protein_coding
ATAC_R1.mLb.clN_peak_26707	2	91803519	91805068	+	965	NA	intron (ENSGALG00000036128, intron 1 of 8)	protein_coding-intron (ENSGALG00000036128, intron 1 of 8)	544	ENSGALG00000036128	ENSGALG00000036128	ENSGALT00000077874			ZNF407			protein_coding
ATAC_R1.mLb.clN_peak_50378	5	31859413	31860073	+	960	NA	Intergenic	Intergenic	-93047	ENSGALG00000009801	ENSGALG00000009801	ENSGALT00000086000			C5H15orf41			protein_coding
ATAC_R1.mLb.clN_peak_15372	12	6098822	6100039	+	955	NA	Intergenic	Intergenic	-1091	ENSGALG00000005092	ENSGALG00000005092	ENSGALT00000008165			HDAC11			protein_coding
ATAC_R1.mLb.clN_peak_27552	2	104313728	104314366	+	946	NA	intron (ENSGALG00000015124, intron 1 of 4)	protein_coding-intron (ENSGALG00000015124, intron 1 of 4)	2488	ENSGALG00000015124	ENSGALG00000015124	ENSGALT00000024407			KCTD1			protein_coding
ATAC_R1.mLb.clN_peak_54055	6	21710424	21711785	+	945	NA	Intergenic	Intergenic	-7100	ENSGALG00000030597	ENSGALG00000030597	ENSGALT00000064835			KIF11			protein_coding
ATAC_R1.mLb.clN_peak_1220-2	1	18983940	18985450	+	943	NA	intron (ENSGALG00000029379, intron 2 of 13)	protein_coding-intron (ENSGALG00000029379, intron 1 of 13)	8212	ENSGALG00000029379	ENSGALG00000029379	ENSGALT00000056505			BRD1			protein_coding
ATAC_R1.mLb.clN_peak_1220	1	18983940	18985450	+	943	NA	intron (ENSGALG00000029379, intron 2 of 13)	protein_coding-intron (ENSGALG00000029379, intron 1 of 13)	8212	ENSGALG00000029379	ENSGALG00000029379	ENSGALT00000056505			BRD1			protein_coding
ATAC_R1.mLb.clN_peak_39305	3	87481004	87482063	+	939	NA	intron (ENSGALG00000016294, intron 1 of 8)	protein_coding-intron (ENSGALG00000016294, intron 1 of 8)	274	ENSGALG00000016294	ENSGALG00000016294	ENSGALT00000026278			HMGCLL1			protein_coding
ATAC_R1.mLb.clN_peak_31101	20	6819014	6819664	+	937	NA	intron (ENSGALG00000035930, intron 8 of 12)	protein_coding-intron (ENSGALG00000035930, intron 8 of 12)	25518	ENSGALG00000045232	ENSGALG00000045232	ENSGALT00000095543						protein_coding
ATAC_R1.mLb.clN_peak_50287	5	31006669	31007600	+	934	NA	Intergenic	Intergenic	-22728	ENSGALG00000028203	ENSGALG00000028203	ENSGALT00000099203			SPRED1			protein_coding
ATAC_R1.mLb.clN_peak_56566	7	19880311	19881422	+	934	NA	Intergenic	Intergenic	-7863	ENSGALG00000011009	ENSGALG00000011009	ENSGALT00000017933			SCN2A			protein_coding
ATAC_R1.mLb.clN_peak_45211	4	54720746	54721832	+	926	NA	intron (ENSGALG00000051517, intron 1 of 1)	protein_coding-intron (ENSGALG00000051517, intron 1 of 1)	468	ENSGALG00000051517	ENSGALG00000051517	ENSGALT00000106677						protein_coding
ATAC_R1.mLb.clN_peak_59812	8	24019821	24020554	+	926	NA	Intergenic	Intergenic	104298	ENSGALG00000010533	ENSGALG00000010533	ENSGALT00000025475			ELAVL4			protein_coding
ATAC_R1.mLb.clN_peak_34450	3	23511474	23512146	+	920	NA	Intergenic	Intergenic	83444	ENSGALG00000042511	ENSGALG00000042511	ENSGALT00000096737			PKDCC			protein_coding
ATAC_R1.mLb.clN_peak_27342	2	101084822	101085432	+	914	NA	Intergenic	Intergenic	-15319	ENSGALG00000032997	ENSGALG00000032997	ENSGALT00000068452			EMILIN2			protein_coding
ATAC_R1.mLb.clN_peak_56960	7	24344080	24344772	+	914	NA	Intergenic	Intergenic	-292804	ENSGALG00000011566	ENSGALG00000011566	ENSGALT00000038068			GYPC			protein_coding
ATAC_R1.mLb.clN_peak_10920	1	178819726	178820325	+	912	NA	Intergenic	Intergenic	54699	ENSGALG00000017119	ENSGALG00000017119	ENSGALT00000027657			TNFRSF19			protein_coding
ATAC_R1.mLb.clN_peak_45777	4	60972529	60973270	+	911	NA	TTS (ENSGALG00000012338)	protein_coding-TTS (ENSGALG00000012338)	-2195	ENSGALG00000012319	ENSGALG00000012319	ENSGALT00000102010						protein_coding
ATAC_R1.mLb.clN_peak_10389	1	170118682	170119492	+	905	NA	intron (ENSGALG00000016997, intron 16 of 25)	protein_coding-intron (ENSGALG00000016997, intron 17 of 26)	53477	ENSGALG00000016997	ENSGALG00000016997	ENSGALT00000107323			RB1			protein_coding
ATAC_R1.mLb.clN_peak_52241	5	53060294	53061080	+	903	NA	Intergenic	Intergenic	-19050	ENSGALG00000040026	ENSGALG00000040026	ENSGALT00000061754						protein_coding
ATAC_R1.mLb.clN_peak_49851	5	24774821	24775777	+	897	NA	Intergenic	Intergenic	18526	ENSGALG00000008569	ENSGALG00000008569	ENSGALT00000066791			CHP1			protein_coding
ATAC_R1.mLb.clN_peak_28182	2	112049694	112051554	+	897	NA	intron (ENSGALG00000015436, intron 1 of 8)	protein_coding-intron (ENSGALG00000015436, intron 1 of 8)	-1783	ENSGALG00000015436	ENSGALG00000015436	ENSGALT00000076380			SDCBP			protein_coding
ATAC_R1.mLb.clN_peak_46041	4	64491680	64492943	+	896	NA	intron (ENSGALG00000013715, intron 1 of 13)	protein_coding-intron (ENSGALG00000013715, intron 6 of 18)	433	ENSGALG00000013715	ENSGALG00000013715	ENSGALT00000022297			DLC1			protein_coding
ATAC_R1.mLb.clN_peak_30156	2	140670710	140672375	+	892	NA	intron (ENSGALG00000037618, intron 1 of 28)	protein_coding-intron (ENSGALG00000037618, intron 1 of 29)	29670	ENSGALG00000037618	ENSGALG00000037618	ENSGALT00000065342			ASAP1			protein_coding
ATAC_R1.mLb.clN_peak_6877	1	108441154	108442505	+	891	NA	Intergenic	Intergenic	-20637	ENSGALG00000016052	ENSGALG00000016052	ENSGALT00000107782			VPS26C			protein_coding
ATAC_R1.mLb.clN_peak_18480	14	11532490	11533112	+	891	NA	Intergenic	Intergenic	-25417	ENSGALG00000034325	ENSGALG00000034325	ENSGALT00000100932			RBFOX1			protein_coding
ATAC_R1.mLb.clN_peak_60865	9	9854111	9854885	+	888	NA	Intergenic	Intergenic	-62440	ENSGALG00000002974	ENSGALG00000002974	ENSGALT00000004709			SPHKAP			protein_coding
ATAC_R1.mLb.clN_peak_25214	2	68456269	68456875	+	887	NA	Intergenic	Intergenic	-39881	ENSGALG00000028822	ENSGALG00000028822	ENSGALT00000043782			RNF152			protein_coding
ATAC_R1.mLb.clN_peak_9833	1	156918940	156920493	+	886	NA	Intergenic	Intergenic	-90613	ENSGALG00000016926	ENSGALG00000016926	ENSGALT00000036508			KLF12			protein_coding
ATAC_R1.mLb.clN_peak_13954	11	7370228	7370650	+	886	NA	intron (ENSGALG00000003916, intron 2 of 2)	protein_coding-intron (ENSGALG00000003916, intron 2 of 2)	4502	ENSGALG00000003916	ENSGALG00000003916	ENSGALT00000108264			SIAH1			protein_coding
ATAC_R1.mLb.clN_peak_22190	2	19672407	19674066	+	874	NA	Intergenic	Intergenic	-8876	ENSGALG00000008659	ENSGALG00000008659	ENSGALT00000014104			HACD1			protein_coding
ATAC_R1.mLb.clN_peak_28018	2	110377812	110378830	+	874	NA	intron (ENSGALG00000040421, intron 1 of 8)	protein_coding-intron (ENSGALG00000040421, intron 1 of 8)	118	ENSGALG00000040421	ENSGALG00000040421	ENSGALT00000086323			LYPLA1			protein_coding
ATAC_R1.mLb.clN_peak_55765	7	9778898	9779856	+	870	NA	Intergenic	Intergenic	21241	ENSGALG00000007924	ENSGALG00000007924	ENSGALT00000105038			STK17B			protein_coding
ATAC_R1.mLb.clN_peak_39269	3	87066210	87067196	+	869	NA	intron (ENSGALG00000016289, intron 58 of 99)	protein_coding-intron (ENSGALG00000016289, intron 57 of 98)	50740	ENSGALG00000047909	ENSGALG00000047909	ENSGALT00000093324						protein_coding
ATAC_R1.mLb.clN_peak_25663	2	76514223	76515168	+	868	NA	intron (ENSGALG00000031495, intron 1 of 56)	protein_coding-intron (ENSGALG00000031495, intron 1 of 56)	57354	ENSGALG00000031495	ENSGALG00000031495	ENSGALT00000071221			TRIO			protein_coding
ATAC_R1.mLb.clN_peak_50237	5	30557573	30558152	+	867	NA	Intergenic	Intergenic	-16487	ENSGALG00000009705	ENSGALG00000009705	ENSGALT00000077897			RYR3			protein_coding
ATAC_R1.mLb.clN_peak_46543	4	70485708	70486168	+	866	NA	Intergenic	Intergenic	-61049	ENSGALG00000044225	ENSGALG00000044225	ENSGALT00000086197						protein_coding
ATAC_R1.mLb.clN_peak_903	1	13900747	13902719	+	863	NA	Intergenic	Intergenic	-1479	ENSGALG00000008167	ENSGALG00000008167	ENSGALT00000055084			KMT2E			protein_coding
ATAC_R1.mLb.clN_peak_31010	20	5840302	5841312	+	862	NA	Intergenic	Intergenic	-18537	ENSGALG00000004570	ENSGALG00000004570	ENSGALT00000096947			NCOA3			protein_coding
ATAC_R1.mLb.clN_peak_57555	7	31377955	31379494	+	861	NA	intron (ENSGALG00000012380, intron 1 of 10)	protein_coding-intron (ENSGALG00000012380, intron 1 of 10)	1776	ENSGALG00000012380	ENSGALG00000012380	ENSGALT00000108037			SPOPL			protein_coding
ATAC_R1.mLb.clN_peak_34883	3	29013768	29014317	+	859	NA	intron (ENSGALG00000010055, intron 1 of 25)	protein_coding-intron (ENSGALG00000010055, intron 3 of 27)	25933	ENSGALG00000010055	ENSGALG00000010055	ENSGALT00000063049			DAAM2			protein_coding
ATAC_R1.mLb.clN_peak_52882	6	5574785	5575274	+	859	NA	intron (ENSGALG00000002555, intron 1 of 19)	protein_coding-intron (ENSGALG00000002555, intron 1 of 19)	23396	ENSGALG00000002555	ENSGALG00000002555	ENSGALT00000041122			RET			protein_coding
ATAC_R1.mLb.clN_peak_1097	1	16140182	16140950	+	855	NA	Intergenic	Intergenic	50938	ENSGALG00000034274	ENSGALG00000034274	ENSGALT00000056185			GRAMD4			protein_coding
ATAC_R1.mLb.clN_peak_31028	20	6057127	6058577	+	851	NA	Intergenic	Intergenic	-82398	ENSGALG00000004593	ENSGALG00000004593	ENSGALT00000007309			SULF2			protein_coding
ATAC_R1.mLb.clN_peak_47441	4	81171312	81171829	+	849	NA	intron (ENSGALG00000030209, intron 1 of 9)	protein_coding-intron (ENSGALG00000030209, intron 1 of 10)	8227	ENSGALG00000030209	ENSGALG00000030209	ENSGALT00000065420			CPZ			protein_coding
ATAC_R1.mLb.clN_peak_57345	7	29337038	29337709	+	848	NA	intron (ENSGALG00000012156, intron 1 of 25)	protein_coding-intron (ENSGALG00000012156, intron 1 of 25)	-4608	ENSGALG00000012156	ENSGALG00000012156	ENSGALT00000053358			DPP10			protein_coding
ATAC_R1.mLb.clN_peak_9566	1	149470970	149472012	+	847	NA	Intergenic	Intergenic	-51935	ENSGALG00000016902	ENSGALG00000016902	ENSGALT00000027322			GPC5			protein_coding
ATAC_R1.mLb.clN_peak_37353	3	60126687	60127538	+	846	NA	intron (ENSGALG00000014841, intron 1 of 5)	protein_coding-intron (ENSGALG00000014841, intron 1 of 5)	219	ENSGALG00000014841	ENSGALG00000014841	ENSGALT00000086499			HDDC2			protein_coding
ATAC_R1.mLb.clN_peak_8630	1	135109556	135110680	+	844	NA	Intergenic	Intergenic	-1204	ENSGALG00000043044	ENSGALG00000043044	ENSGALT00000079162			IL1R1			protein_coding
ATAC_R1.mLb.clN_peak_24620	2	56070487	56071683	+	844	NA	Intergenic	Intergenic	-7406	ENSGALG00000035669	ENSGALG00000035669	ENSGALT00000065264			ADNP2			protein_coding
ATAC_R1.mLb.clN_peak_27822	2	108034975	108035940	+	841	NA	intron (ENSGALG00000028133, intron 1 of 3)	protein_coding-intron (ENSGALG00000028133, intron 1 of 3)	343	ENSGALG00000028133	ENSGALG00000028133	ENSGALT00000086103			UBE2V2			protein_coding
ATAC_R1.mLb.clN_peak_44305	4	42158013	42158639	+	837	NA	Intergenic	Intergenic	-53538	ENSGALG00000010716	ENSGALG00000010716	ENSGALT00000017440			AGA			protein_coding
ATAC_R1.mLb.clN_peak_36184	3	45993919	45994680	+	836	NA	Intergenic	Intergenic	-13750	ENSGALG00000011673	ENSGALG00000011673	ENSGALT00000019081			STX11			protein_coding
ATAC_R1.mLb.clN_peak_47523	4	82117035	82117831	+	834	NA	Intergenic	Intergenic	-24139	ENSGALG00000015628	ENSGALG00000015628	ENSGALT00000037207			MSANTD1			protein_coding
ATAC_R1.mLb.clN_peak_26498	2	89072465	89072942	+	834	NA	Intergenic	Intergenic	17729	ENSGALG00000013403	ENSGALG00000013403	ENSGALT00000021859			MSANTD3			protein_coding
ATAC_R1.mLb.clN_peak_28102	2	111202172	111203503	+	834	NA	Intergenic	Intergenic	-3343	ENSGALG00000015404	ENSGALG00000015404	ENSGALT00000036752						protein_coding
ATAC_R1.mLb.clN_peak_28093	2	111133918	111134955	+	832	NA	intron (ENSGALG00000042321, intron 1 of 13)	protein_coding-intron (ENSGALG00000042321, intron 1 of 13)	153	ENSGALG00000042321	ENSGALG00000042321	ENSGALT00000059152			LYN			protein_coding
ATAC_R1.mLb.clN_peak_1375	1	20897861	20898837	+	830	NA	Intergenic	Intergenic	-124805	ENSGALG00000033997	ENSGALG00000033997	ENSGALT00000100812			ZNF800			protein_coding
ATAC_R1.mLb.clN_peak_233	1	5075089	5075792	+	830	NA	Intergenic	Intergenic	107381	ENSGALG00000029270	ENSGALG00000029270	ENSGALT00000049267			GATA3			protein_coding
ATAC_R1.mLb.clN_peak_45215	4	54769958	54770572	+	830	NA	Intergenic	Intergenic	-17414	ENSGALG00000011990	ENSGALG00000011990	ENSGALT00000019558			USP53			protein_coding
ATAC_R1.mLb.clN_peak_50153	5	29619041	29619921	+	829	NA	intron (ENSGALG00000014537, intron 3 of 3)	protein_coding-intron (ENSGALG00000014537, intron 3 of 3)	9979	ENSGALG00000014537	ENSGALG00000014537	ENSGALT00000108086			BMF			protein_coding
ATAC_R1.mLb.clN_peak_22944	2	28543121	28543955	+	825	NA	intron (ENSGALG00000027240, intron 1 of 5)	protein_coding-intron (ENSGALG00000027240, intron 1 of 5)	117	ENSGALG00000027240	ENSGALG00000027240	ENSGALT00000073606			TSPAN13			protein_coding
ATAC_R1.mLb.clN_peak_47178	4	78519051	78519902	+	821	NA	intron (ENSGALG00000014992, intron 1 of 4)	protein_coding-intron (ENSGALG00000014992, intron 1 of 3)	174	ENSGALG00000014992	ENSGALG00000014992	ENSGALT00000071748			TMEM128			protein_coding
ATAC_R1.mLb.clN_peak_5189	1	74989298	74990280	+	818	NA	Intergenic	Intergenic	-3109	ENSGALG00000054994	ENSGALG00000054994	ENSGALT00000090924						protein_coding
ATAC_R1.mLb.clN_peak_35889	3	42202715	42203758	+	817	NA	Intergenic	Intergenic	-6242	ENSGALG00000011299	ENSGALG00000011299	ENSGALT00000018431			KIF25			protein_coding
ATAC_R1.mLb.clN_peak_25820	2	78664336	78664953	+	817	NA	intron (ENSGALG00000028685, intron 1 of 22)	protein_coding-intron (ENSGALG00000028685, intron 1 of 22)	9496	ENSGALG00000028685	ENSGALG00000028685	ENSGALT00000055069			SEMA5A			protein_coding
ATAC_R1.mLb.clN_peak_6689	1	105431647	105432490	+	812	NA	Intergenic	Intergenic	-12455	ENSGALG00000015828	ENSGALG00000015828	ENSGALT00000025518			BACH1			protein_coding
ATAC_R1.mLb.clN_peak_27346	2	101162268	101163461	+	810	NA	intron (ENSGALG00000014811, intron 1 of 43)	protein_coding-intron (ENSGALG00000014811, intron 1 of 47)	28143	ENSGALG00000014801	ENSGALG00000014801	ENSGALT00000023897			NDC80			protein_coding
ATAC_R1.mLb.clN_peak_46633	4	72081371	72082031	+	807	NA	Intergenic	Intergenic	-135721	ENSGALG00000050883	ENSGALG00000050883	ENSGALT00000095204						protein_coding
ATAC_R1.mLb.clN_peak_6540	1	101170023	101170821	+	806	NA	Intergenic	Intergenic	107165	ENSGALG00000052484	ENSGALG00000052484	ENSGALT00000099943						protein_coding
ATAC_R1.mLb.clN_peak_23122	2	30577008	30578506	+	805	NA	Intergenic	Intergenic	-10598	ENSGALG00000035978	ENSGALG00000035978	ENSGALT00000074546			CDCA7L			protein_coding
ATAC_R1.mLb.clN_peak_23524	2	37019298	37019788	+	804	NA	intron (ENSGALG00000033593, intron 4 of 4)	protein_coding-intron (ENSGALG00000033593, intron 4 of 4)	-56860	ENSGALG00000011286	ENSGALG00000011286	ENSGALT00000018414			UBE2E1			protein_coding
ATAC_R1.mLb.clN_peak_1304	1	20172455	20172965	+	799	NA	Intergenic	Intergenic	68279	ENSGALG00000008554	ENSGALG00000008554	ENSGALT00000013934			IL17REL			protein_coding
ATAC_R1.mLb.clN_peak_46643	4	72270244	72271540	+	798	NA	Intergenic	Intergenic	-324912	ENSGALG00000050883	ENSGALG00000050883	ENSGALT00000095204						protein_coding
ATAC_R1.mLb.clN_peak_45184	4	54519459	54519975	+	797	NA	Intergenic	Intergenic	-14792	ENSGALG00000011967	ENSGALG00000011967	ENSGALT00000087335			MAD2L1			protein_coding
ATAC_R1.mLb.clN_peak_52712	6	3277929	3278863	+	797	NA	intron (ENSGALG00000002003, intron 1 of 11)	protein_coding-intron (ENSGALG00000002003, intron 2 of 12)	11894	ENSGALG00000002003	ENSGALG00000002003	ENSGALT00000065543			BMPR1A			protein_coding
ATAC_R1.mLb.clN_peak_27819	2	108017896	108018425	+	794	NA	Intergenic	Intergenic	16210	ENSGALG00000012915	ENSGALG00000012915	ENSGALT00000021064			MCM4			protein_coding
ATAC_R1.mLb.clN_peak_12564	10	7820110	7821532	+	794	NA	Intergenic	Intergenic	-12551	ENSGALG00000004294	ENSGALG00000004294	ENSGALT00000006837			CGNL1			protein_coding
ATAC_R1.mLb.clN_peak_54108	6	22294966	22295653	+	791	NA	Intergenic	Intergenic	-119413	ENSGALG00000006989	ENSGALG00000006989	ENSGALT00000105717						protein_coding
ATAC_R1.mLb.clN_peak_4317	1	61607471	61608564	+	784	NA	intron (ENSGALG00000033887, intron 1 of 12)	protein_coding-intron (ENSGALG00000033887, intron 1 of 12)	442	ENSGALG00000033887	ENSGALG00000033887	ENSGALT00000060134			IL17RA			protein_coding
ATAC_R1.mLb.clN_peak_36163	3	45740399	45741505	+	784	NA	intron (ENSGALG00000011661, intron 1 of 4)	protein_coding-intron (ENSGALG00000011661, intron 1 of 4)	266	ENSGALG00000011661	ENSGALG00000011661	ENSGALT00000019062			SOD2			protein_coding
ATAC_R1.mLb.clN_peak_61612	9	18845889	18847116	+	783	NA	Intergenic	Intergenic	-21517	ENSGALG00000023670	ENSGALG00000023670	ENSGALT00000059348			NAALADL2			protein_coding
ATAC_R1.mLb.clN_peak_35539	3	36885869	36886328	+	782	NA	Intergenic	Intergenic	-144702	ENSGALG00000010778	ENSGALG00000010778	ENSGALT00000017530			CHRM1			protein_coding
ATAC_R1.mLb.clN_peak_3652	1	50247667	50248683	+	782	NA	Intergenic	Intergenic	31088	ENSGALG00000045936	ENSGALG00000045936	ENSGALT00000019690			FAM83F			protein_coding
ATAC_R1.mLb.clN_peak_11674	1	189882335	189882937	+	781	NA	intron (ENSGALG00000047269, intron 6 of 14)	protein_coding-intron (ENSGALG00000047269, intron 6 of 14)	116467	ENSGALG00000047269	ENSGALG00000047269	ENSGALT00000103468			TMEM135			protein_coding
ATAC_R1.mLb.clN_peak_44111	4	39417222	39417795	+	779	NA	Intergenic	Intergenic	-15233	ENSGALG00000010628	ENSGALG00000010628	ENSGALT00000088260			ACSL1			protein_coding
